title,Cl/Cd_Re50K_N9,Cl/Cd_Re50K_N5,Cl/Cd_Re100K_N9,Cl/Cd_Re100K_N5,Cl/Cd_Re200K_N9,Cl/Cd_Re200K_N5,Cl/Cd_Re500K_N9,Cl/Cd_Re500K_N5,Cl/Cd_Re1000K_N9,Cl/Cd_Re1000K_N5,max_thickness,max_camber
20-32C AIRFOIL (2032c-il),31.7,40.8,54.9,58.2,75.3,76.6,103.7,103.6,126.8,124.9,8%,6.9%
AH 82-150 A (ah82150a-il),17.8,20.2,42.5,41.9,72.8,73.4,108.7,107.4,137.6,129.9,15%,3.3%
AH 79-K-143/18 (ah79k143-il),20.5,19.8,39,37.8,76.2,62.4,90.9,86.7,110.9,107.1,14.3%,2.9%
AH 80-129 (ah80129-il),18.2,19,37.9,39.4,79,78.4,124.7,121.6,152.3,143.7,12.9%,4.1%
AH 80-140 (ah80140-il),5.3,14.3,22.5,35.7,70.9,74.2,116.4,113.2,149.2,139,14%,4.4%
AH 81-K-144 W-F KLAPPE (ah81k144wfklappe-il),4.2,2.7,3.8,10,10.5,35.4,68.9,66.7,89.7,68.5,22%,1.1%
AH 81-K-144/17 (ah81k144-il),17.8,16.6,29.8,30.5,62.5,67.4,129.4,117.3,156.1,145.3,14.5%,4.2%
AH 80-136 (ah80136-il),14.9,13.8,32.2,33.4,71,71.2,110.4,105.4,138.8,127.6,13.5%,3.4%
AH 81-131 (ah81131-il),23.4,21.5,37.5,38.1,72.2,70.6,110,95.8,126.8,104.8,13.1%,2.8%
AH 79-K-135/20 B (ah79k135-il),24,24.3,48,46.3,78.9,74.4,104.3,95,122.7,111.7,13.5%,3.1%
AH 79-K-132/20 (ah79k132-il),21.8,22.4,47.8,45.2,79.2,78.4,115,100,130.6,116.7,13.2%,3.7%
AH 79-100 C AIRFOIL (ah79100c-il),32.2,31.5,61.7,61.5,97.6,97,147.6,137.7,183,161.4,9.9%,6.7%
AH 79-100 B AIRFOIL (ah79100b-il),32.1,32.9,65.9,68.8,100,101,148.3,139.6,183.3,153.7,10%,6.4%
AH 79-100 A AIRFOIL (ah79100a-il),39.8,41.9,61.9,62.2,85.5,81.3,116.2,103.7,137,107.4,10%,3.6%
AH-7-47-6 AIRFOIL (ah7476-il),48.1,48.9,75.7,74.4,107.2,103.1,148.4,110.4,138.1,112.2,5.9%,6.2%
AH-6-40-7 AIRFOIL (ah6407-il),41.6,46.9,67.1,67.1,91.5,85.6,119.7,104,131.3,121.8,6.9%,5.5%
GOE 314 (HANSA-BRANDENBURG) AIRFOIL (goe314-il),28.9,36.8,48.7,54.1,70.5,71.3,98.3,91,117.1,104.3,8%,4.7%
S4110 (s4110-il),39.2,40.8,60.1,57.9,81.4,73.5,107.2,89.9,122.7,99.9,8.4%,3.1%
SD7043 (9.1%) (sd7043-il),38.6,41.1,60.7,59.2,82.8,76,110.1,94.2,126.7,105.6,9.1%,3.3%
BOEING-VERTOL VR-5 AIRFOIL (vr5-il),31.7,29.5,55.2,55.4,79.9,78,112.8,105.1,136.1,117.3,12%,3.4%
YS-915 (ys915-il),20.4,21.9,29.4,34,54,51.6,91.9,73.7,109.2,79.1,9.1%,1.8%
YS-930 (ys930-il),24.7,28.4,42.2,47.1,77.5,75.5,119,108.2,155.4,113.3,9.1%,2.9%
YS-900 (ys900-il),17.3,17.4,21,21.8,21.5,21.6,24.2,33.4,22.7,49,9%,0%
WHITCOMB INTEGRAL SUPERCRITICAL AIRFOIL (whitcomb-il),22.1,19.9,22.9,27.8,30.1,39.2,49.1,59.6,69,76.9,11%,2.4%
WB-140/35/FB 14% (wb140-il),9.9,31.9,53.4,52.9,83.9,62.2,105.9,64,109.3,74.9,13.9%,3.7%
WB-135/35  13.5%  smoothed (wb13535sm-il),26.6,33.4,51.8,51.6,73.8,68.8,101.3,84.6,108.2,102.4,13.6%,3.8%
WASP (smoothed) (waspsm-il),31.1,37.5,51,53.2,69.7,69.1,96,91,115.8,108.1,9.4%,3%
BOEING-VERTOL VR-9 AIRFOIL (vr9-il),24.3,23.8,31.2,27.4,34.2,32.5,39.8,42.7,52.8,55.9,6.1%,0.3%
BOEING-VERTOL VR-8 AIRFOIL WITH TAB (vr8b-il),32.5,31.7,41.6,37.1,47,44.1,84.8,50.9,64.1,62,8.2%,1.2%
BOEING-VERTOL VR-8 AIRFOIL (vr8-il),33.2,31.9,44.3,38.7,51.3,44.3,56.2,53.2,123.2,60.6,8.2%,1.3%
BOEING-VERTOL VR-7 AIRFOIL WITH TAB (vr7b-il),30.7,33.3,52.1,53.4,72.9,71.4,99.5,92.8,118.1,105.7,12%,3%
BOEING-VERTOL VR-7 AIRFOIL (vr7-il),29,32.1,51.7,53.5,73.7,72.3,103,96.2,125,113.1,12%,3.1%
BOEING-VERTOL VR-15 AIRFOIL (vr15-il),28.1,27.7,38.2,39,49.3,52,70.9,69.2,85.6,81.7,8%,1.3%
BOEING-VERTOL VR-14 AIRFOIL (vr14-il),29.4,29,40.6,40.3,50.7,54.3,74.3,73.4,91.2,87.3,8%,1.7%
BOEING-VERTOL VR-13 AIRFOIL (vr13-il),29.1,29.1,40.1,40,49.6,54.2,74.5,75.8,94.6,92.7,9.5%,2%
